,MASS,COMMON_NAME,FORMULA
37,586.4597,"DG(12:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(14:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2];DG(14:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/16:1(9Z)/0:0)[iso2]",C37H62O5
38,588.4754,"DG(12:0/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2];DG(14:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(14:1(9Z)/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(16:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(17:2(9Z,12Z)/17:2(9Z,12Z)/0:0);DG(18:3(6Z,9Z,12Z)/16:1(9Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/16:0/0:0)[iso2]",C37H64O5
39,588.5481,-,C39H72O3
40,590.491,"DG(12:0/22:3(10Z,13Z,16Z)/0:0)[iso2];DG(14:0/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(14:1(9Z)/20:2(11Z,14Z)/0:0)[iso2];DG(16:0/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(16:1(9Z)/18:2(9Z,12Z)/0:0)[iso2];DG(17:1(9Z)/17:2(9Z,12Z)/0:0)[iso2];DG(18:3(6Z,9Z,12Z)/16:0/0:0)[iso2]",C37H66O5
41,592.5067,"DG(12:0/22:2(13Z,16Z)/0:0)[iso2];DG(14:0/20:2(11Z,14Z)/0:0)[iso2];DG(14:1(9Z)/20:1(11Z)/0:0)[iso2];DG(16:0/18:2(9Z,12Z)/0:0)[iso2];DG(16:1(9Z)/18:1(9Z)/0:0)[iso2];DG(17:0/17:2(9Z,12Z)/0:0)[iso2];DG(17:1(9Z)/17:1(9Z)/0:0)",C37H68O5
42,594.5223,DG(12:0/22:1(11Z)/0:0)[iso2];DG(14:0/20:1(11Z)/0:0)[iso2];DG(14:1(9Z)/20:0/0:0)[iso2];DG(15:1(9Z)/19:0/0:0)[iso2];DG(16:0/18:1(11Z)/0:0);DG(16:0/18:1(9Z)/0:0);DG(16:1(9Z)/18:0/0:0)[iso2];DG(17:0/17:1(9Z)/0:0)[iso2];DG(17:1(9Z)/18:1(9Z)/0:0);DG(18:1(11E)/16:0/0:0);DG(18:1(9Z)/16:0/0:0),C37H70O5;C37[13]CH70O5
43,596.538,DG(12:0/22:0/0:0)[iso2];DG(13:0/21:0/0:0)[iso2];DG(14:0/20:0/0:0)[iso2];DG(15:0/19:0/0:0)[iso2];DG(16:0/18:0/0:0)[iso2];DG(17:0/17:0/0:0);DG(18:0/16:0/0:0),C37H72O5
44,598.4597,"DG(13:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(15:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/17:2(9Z,12Z)/0:0)[iso2]",C38H62O5
45,600.4754,"DG(13:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(15:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2];DG(15:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(17:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(18:3(6Z,9Z,12Z)/17:2(9Z,12Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/17:1(9Z)/0:0)[iso2]",C38H64O5
46,601.5689,DG(17:0/0:0/17:0) (d5),C37H67D5O5
47,602.491,"DG(13:0/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2];DG(15:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(15:1(9Z)/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(17:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(17:2(9Z,12Z)/18:2(9Z,12Z)/0:0)[iso2];DG(18:3(6Z,9Z,12Z)/17:1(9Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/17:0/0:0)[iso2]",C38H66O5
48,602.5274,-;1-(14-methyl-pentadecanoyl)-2-(8-[1]-ladderane-octanyl)-sn-glycerol;1-(hexadecanoyl)-2-(8-[1]-ladderane-octanyl)-sn-glycerol;1-(hexadecanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerol,C39H70O4
49,602.5638,-,C40H74O3
50,604.5067,"DG(13:0/22:3(10Z,13Z,16Z)/0:0)[iso2];DG(15:0/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(15:1(9Z)/20:2(11Z,14Z)/0:0)[iso2];DG(17:0/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(17:1(9Z)/18:2(9Z,12Z)/0:0)[iso2];DG(17:2(9Z,12Z)/18:1(9Z)/0:0)[iso2];DG(18:3(6Z,9Z,12Z)/17:0/0:0)[iso2]",C38H68O5
51,606.5012,-;1-(6-[1]-ladderane-hexanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerol,C41H66O3
52,606.5223,"DG(13:0/22:2(13Z,16Z)/0:0)[iso2];DG(15:0/20:2(11Z,14Z)/0:0)[iso2];DG(15:1(9Z)/20:1(11Z)/0:0)[iso2];DG(17:0/18:2(9Z,12Z)/0:0)[iso2];DG(17:2(9Z,12Z)/18:0/0:0)[iso2];DG(19:1(9Z)/16:1(9Z)/0:0)[iso2]",C38H70O5
53,608.4441,"DG(18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z)/0:0)",C39H60O5
54,608.538,DG(13:0/22:1(11Z)/0:0)[iso2];DG(14:1(9Z)/21:0/0:0)[iso2];DG(15:0/20:1(11Z)/0:0)[iso2];DG(15:1(9Z)/20:0/0:0)[iso2];DG(16:1(9Z)/19:0/0:0)[iso2];DG(17:0/18:1(9Z)/0:0)[iso2];DG(17:1(9Z)/18:0/0:0)[iso2];DG(19:1(9Z)/16:0/0:0)[iso2],C38H72O5
55,610.4597,"DG(14:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]",C39H62O5
56,610.5536,DG(13:0/22:0/0:0)[iso2];DG(14:0/21:0/0:0)[iso2];DG(15:0/20:0/0:0)[iso2];DG(16:0/19:0/0:0)[iso2];DG(17:0/18:0/0:0)[iso2],C38H74O5
57,612.4754,"DG(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(14:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2];DG(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z)/0:0);DG(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/0:0);DG(18:4(6Z,9Z,12Z,15Z)/18:2(9Z,12Z)/0:0)[iso2]",C39H64O5
58,614.491,"DG(14:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(14:1(9Z)/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2];DG(16:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2];DG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(18:2(9Z,12Z)/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(18:3(6Z,9Z,12Z)/18:2(9Z,12Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/18:1(9Z)/0:0)[iso2]",C39H66O5
59,616.5067,"DG(14:0/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2];DG(14:1(9Z)/22:3(10Z,13Z,16Z)/0:0)[iso2];DG(16:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(16:1(9Z)/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(18:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0);DG(18:3(6Z,9Z,12Z)/18:1(9Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/18:0/0:0)[iso2]",C39H68O5
60,616.5431,"-;1-(10-methyl-hexadecanoyl)-2-(8-[1]-ladderane-octanyl)-sn-glycerol;1-(9,14-dimethyl-pentadecanoyl)-2-(8-[1]-ladderane-octanyl)-sn-glycerol",C40H72O4
61,618.5223,"DG(14:0/22:3(10Z,13Z,16Z)/0:0)[iso2];DG(14:1(9Z)/22:2(13Z,16Z)/0:0)[iso2];DG(16:0/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(16:1(9Z)/20:2(11Z,14Z)/0:0)[iso2];DG(18:0/18:3(9Z,12Z,15Z)/0:0)[iso2];DG(18:1(9Z)/18:2(9Z,12Z)/0:0)[iso2];DG(18:3(6Z,9Z,12Z)/18:0/0:0)[iso2];DG(19:1(9Z)/17:2(9Z,12Z)/0:0)[iso2]",C39H70O5
62,620.4805,-;1-(6-[1]-ladderane-hexanoyl)-2-(8-[1]-ladderane-octanyl)-sn-glycerol;1-(6-[1]-ladderane-hexanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerol;1-(6-[5]-ladderane-hexanoyl)-2-(8-[1]-ladderane-octanyl)-sn-glycerol,C41H64O4
63,620.538,"DG(14:0/22:2(13Z,16Z)/0:0)[iso2];DG(14:1(9Z)/22:1(11Z)/0:0)[iso2];DG(16:0/20:2(11Z,14Z)/0:0)[iso2];DG(16:1(9Z)/20:1(11Z)/0:0)[iso2];DG(17:2(9Z,12Z)/19:0/0:0)[iso2];DG(18:0/18:2(9Z,12Z)/0:0)[iso2];DG(18:1(9Z)/18:1(9Z)/0:0);DG(19:1(9Z)/17:1(9Z)/0:0)[iso2]",C39H72O5
64,621.5376,"DG(18:2(9Z,12Z)/0:0/18:2(9Z,12Z)) (d5)",C39H63D5O5
65,622.4961,1-(6-[3]-ladderane-hexanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerol,C41H66O4
66,622.5536,DG(14:0/22:1(11Z)/0:0)[iso2];DG(14:1(9Z)/22:0/0:0)[iso2];DG(15:1(9Z)/21:0/0:0)[iso2];DG(16:0/20:1(11Z)/0:0)[iso2];DG(16:1(9Z)/20:0/0:0)[iso2];DG(17:1(9Z)/19:0/0:0)[iso2];DG(18:0/18:1(9Z)/0:0)[iso2];DG(19:1(9Z)/17:0/0:0)[iso2],C39H74O5
67,624.4754,"DG(15:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(17:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]",C40H64O5
68,624.5693,DG(14:0/22:0/0:0)[iso2];DG(15:0/21:0/0:0)[iso2];DG(16:0/20:0/0:0)[iso2];DG(17:0/19:0/0:0)[iso2];DG(18:0/18:0/0:0);DG(18:0/18:0/0:0)[rac],C39H76O5
69,625.5689,DG(18:1(9Z)/0:0/18:1(9Z)) (d5),C39H67D5O5
70,626.491,"DG(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(15:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(17:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2];DG(17:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]",C40H66O5
71,628.5067,"DG(15:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(15:1(9Z)/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2];DG(17:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2];DG(17:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(17:2(9Z,12Z)/20:3(8Z,11Z,14Z)/0:0)[iso2]",C40H68O5
72,629.6002,DG(18:0/0:0/18:0) (d5),C39H71D5O5
73,630.5223,"DG(15:0/22:4(7Z,10Z,13Z,16Z)/0:0)[iso2];DG(15:1(9Z)/22:3(10Z,13Z,16Z)/0:0)[iso2];DG(17:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(17:1(9Z)/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(17:2(9Z,12Z)/20:2(11Z,14Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/19:0/0:0)[iso2];DG(19:1(9Z)/18:3(9Z,12Z,15Z)/0:0)[iso2]",C40H70O5
74,632.538,"DG(15:0/22:3(10Z,13Z,16Z)/0:0)[iso2];DG(15:1(9Z)/22:2(13Z,16Z)/0:0)[iso2];DG(17:0/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(17:1(9Z)/20:2(11Z,14Z)/0:0)[iso2];DG(17:2(9Z,12Z)/20:1(11Z)/0:0)[iso2];DG(18:3(6Z,9Z,12Z)/19:0/0:0)[iso2];DG(18:3(9Z,12Z,15Z)/19:0/0:0)[iso2];DG(19:1(9Z)/18:2(9Z,12Z)/0:0)[iso2]",C40H72O5
75,634.4597,"DG(18:4(6Z,9Z,12Z,15Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]",C41H62O5
76,634.5325,-;1-(8-[1]-ladderane-octanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerol,C43H70O3
77,634.5536,"DG(15:0/22:2(13Z,16Z)/0:0)[iso2];DG(15:1(9Z)/22:1(11Z)/0:0)[iso2];DG(17:0/20:2(11Z,14Z)/0:0)[iso2];DG(17:1(9Z)/20:1(11Z)/0:0)[iso2];DG(17:2(9Z,12Z)/20:0/0:0)[iso2];DG(18:2(9Z,12Z)/19:0/0:0)[iso2];DG(19:1(9Z)/18:1(9Z)/0:0)[iso2]",C40H74O5
78,636.4754,"DG(18:3(6Z,9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2];DG(18:3(9Z,12Z,15Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]",C41H64O5
79,636.5481,-;1-(8-[1]-ladderane-octanyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerol,C43H72O3
80,636.5693,DG(15:0/22:1(11Z)/0:0)[iso2];DG(15:1(9Z)/22:0/0:0)[iso2];DG(16:1(9Z)/21:0/0:0)[iso2];DG(17:0/20:1(11Z)/0:0)[iso2];DG(17:1(9Z)/20:0/0:0)[iso2];DG(18:1(9Z)/19:0/0:0)[iso2];DG(19:1(9Z)/18:0/0:0)[iso2],C40H76O5
81,638.491,"DG(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2];DG(18:3(6Z,9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(18:3(9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/20:3(8Z,11Z,14Z)/0:0)[iso2]",C41H66O5
82,638.5849,DG(15:0/22:0/0:0)[iso2];DG(16:0/21:0/0:0)[iso2];DG(17:0/20:0/0:0)[iso2];DG(18:0/19:0/0:0)[iso2],C40H78O5
83,640.5067,"DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)[iso2];DG(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2];DG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2];DG(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z)/0:0)[iso2];DG(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z)/0:0)[iso2]",C41H68O5
