,MASS,COMMON_NAME,FORMULA
28,744.6268,"TG(12:0/12:0/20:3(8Z,11Z,14Z))[iso3];TG(12:0/14:0/18:3(6Z,9Z,12Z))[iso6];TG(12:0/14:0/18:3(9Z,12Z,15Z))[iso6];TG(12:0/14:1(9Z)/18:2(9Z,12Z))[iso6];TG(12:0/15:1(9Z)/17:2(9Z,12Z))[iso6];TG(13:0/13:0/18:3(6Z,9Z,12Z))[iso3];TG(13:0/13:0/18:3(9Z,12Z,15Z))[iso3];TG(13:0/14:1(9Z)/17:2(9Z,12Z))[iso6];TG(14:1(9Z)/14:1(9Z)/16:1(9Z))[iso3];TG(14:1(9Z)/15:1(9Z)/15:1(9Z))[iso3]",C47H84O6
29,746.6424,"TG(12:0/12:0/20:2(11Z,14Z))[iso3];TG(12:0/14:0/18:2(9Z,12Z))[iso6];TG(12:0/14:1(9Z)/18:1(9Z))[iso6];TG(12:0/15:0/17:2(9Z,12Z))[iso6];TG(12:0/15:1(9Z)/17:1(9Z))[iso6];TG(12:0/16:1(9Z)/16:1(9Z))[iso3];TG(13:0/13:0/18:2(9Z,12Z))[iso3];TG(13:0/14:0/17:2(9Z,12Z))[iso6];TG(13:0/14:1(9Z)/17:1(9Z))[iso6];TG(13:0/15:1(9Z)/16:1(9Z))[iso6];TG(14:0/14:1(9Z)/16:1(9Z))[iso6];TG(14:0/15:1(9Z)/15:1(9Z))[iso3];TG(14:1(9Z)/14:1(9Z)/16:0)[iso3];TG(14:1(9Z)/15:0/15:1(9Z))[iso6]",C47H86O6
30,748.6581,TG(12:0/12:0/20:1(11Z))[iso3];TG(12:0/13:0/19:1(9Z))[iso6];TG(12:0/14:0/18:1(9Z))[iso6];TG(12:0/14:1(9Z)/18:0)[iso6];TG(12:0/15:0/17:1(9Z))[iso6];TG(12:0/15:1(9Z)/17:0)[iso6];TG(12:0/16:0/16:1(9Z))[iso6];TG(13:0/13:0/18:1(9Z))[iso3];TG(13:0/14:0/17:1(9Z))[iso6];TG(13:0/14:1(9Z)/17:0)[iso6];TG(13:0/15:0/16:1(9Z))[iso6];TG(13:0/15:1(9Z)/16:0)[iso6];TG(14:0/14:0/16:1(9Z))[iso3];TG(14:0/14:1(9Z)/16:0)[iso6];TG(14:0/15:0/15:1(9Z))[iso6];TG(14:1(9Z)/15:0/15:0)[iso3],C47H88O6
31,750.6737,TG(12:0/12:0/20:0)[iso3];TG(12:0/13:0/19:0)[iso6];TG(12:0/14:0/18:0)[iso6];TG(12:0/15:0/17:0)[iso6];TG(12:0/16:0/16:0)[iso3];TG(13:0/13:0/18:0)[iso3];TG(13:0/14:0/17:0)[iso6];TG(13:0/15:0/16:0)[iso6];TG(14:0/14:0/16:0)[iso3];TG(14:0/15:0/15:0)[iso3],C47H90O6
32,750.7101,TG(O-14:0(13Me)_14:0(13Me)_14:0(13Me)),C48H94O5
33,753.689,TG(14:0/16:1(9Z)/14:0) (d5),C47H83D5O6
34,754.6111,"TG(12:0/13:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6];TG(12:0/15:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6];TG(13:0/14:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6]",C48H82O6
35,756.6268,"TG(12:0/13:0/20:4(5Z,8Z,11Z,14Z))[iso6];TG(12:0/15:0/18:4(6Z,9Z,12Z,15Z))[iso6];TG(12:0/15:1(9Z)/18:3(6Z,9Z,12Z))[iso6];TG(12:0/15:1(9Z)/18:3(9Z,12Z,15Z))[iso6];TG(13:0/14:0/18:4(6Z,9Z,12Z,15Z))[iso6];TG(13:0/14:1(9Z)/18:3(6Z,9Z,12Z))[iso6];TG(13:0/14:1(9Z)/18:3(9Z,12Z,15Z))[iso6];TG(14:1(9Z)/14:1(9Z)/17:2(9Z,12Z))[iso3]",C48H84O6
36,758.6424,"TG(12:0/13:0/20:3(8Z,11Z,14Z))[iso6];TG(12:0/15:0/18:3(6Z,9Z,12Z))[iso6];TG(12:0/15:0/18:3(9Z,12Z,15Z))[iso6];TG(12:0/15:1(9Z)/18:2(9Z,12Z))[iso6];TG(12:0/16:1(9Z)/17:2(9Z,12Z))[iso6];TG(13:0/14:0/18:3(6Z,9Z,12Z))[iso6];TG(13:0/14:0/18:3(9Z,12Z,15Z))[iso6];TG(13:0/14:1(9Z)/18:2(9Z,12Z))[iso6];TG(13:0/15:1(9Z)/17:2(9Z,12Z))[iso6];TG(14:0/14:1(9Z)/17:2(9Z,12Z))[iso6];TG(14:1(9Z)/14:1(9Z)/17:1(9Z))[iso3];TG(14:1(9Z)/15:1(9Z)/16:1(9Z))[iso6];TG(15:1(9Z)/15:1(9Z)/15:1(9Z))",C48H86O6
37,760.6581,"TG(12:0/13:0/20:2(11Z,14Z))[iso6];TG(12:0/14:1(9Z)/19:1(9Z))[iso6];TG(12:0/15:0/18:2(9Z,12Z))[iso6];TG(12:0/15:1(9Z)/18:1(9Z))[iso6];TG(12:0/16:0/17:2(9Z,12Z))[iso6];TG(12:0/16:1(9Z)/17:1(9Z))[iso6];TG(13:0/14:0/18:2(9Z,12Z))[iso6];TG(13:0/14:1(9Z)/18:1(9Z))[iso6];TG(13:0/15:0/17:2(9Z,12Z))[iso6];TG(13:0/15:1(9Z)/17:1(9Z))[iso6];TG(13:0/16:1(9Z)/16:1(9Z))[iso3];TG(14:0/14:0/17:2(9Z,12Z))[iso3];TG(14:0/14:1(9Z)/17:1(9Z))[iso6];TG(14:0/15:1(9Z)/16:1(9Z))[iso6];TG(14:1(9Z)/14:1(9Z)/17:0)[iso3];TG(14:1(9Z)/15:0/16:1(9Z))[iso6];TG(14:1(9Z)/15:1(9Z)/16:0)[iso6];TG(15:0/15:1(9Z)/15:1(9Z))[iso3]",C48H88O6
38,762.6737,TG(12:0/13:0/20:1(11Z))[iso6];TG(12:0/14:0/19:1(9Z))[iso6];TG(12:0/14:1(9Z)/19:0)[iso6];TG(12:0/15:0/18:1(9Z))[iso6];TG(12:0/15:1(9Z)/18:0)[iso6];TG(12:0/16:0/17:1(9Z))[iso6];TG(12:0/16:1(9Z)/17:0)[iso6];TG(13:0/13:0/19:1(9Z))[iso3];TG(13:0/14:0/18:1(9Z))[iso6];TG(13:0/14:1(9Z)/18:0)[iso6];TG(13:0/15:0/17:1(9Z))[iso6];TG(13:0/15:1(9Z)/17:0)[iso6];TG(13:0/16:0/16:1(9Z))[iso6];TG(14:0/14:0/17:1(9Z))[iso3];TG(14:0/14:1(9Z)/17:0)[iso6];TG(14:0/15:0/16:1(9Z))[iso6];TG(14:0/15:1(9Z)/16:0)[iso6];TG(14:1(9Z)/15:0/16:0)[iso6];TG(15:0/15:0/15:1(9Z))[iso3],C48H90O6
39,764.6894,TG(12:0/12:0/21:0)[iso3];TG(12:0/13:0/20:0)[iso6];TG(12:0/14:0/19:0)[iso6];TG(12:0/15:0/18:0)[iso6];TG(12:0/16:0/17:0)[iso6];TG(13:0/13:0/19:0)[iso3];TG(13:0/14:0/18:0)[iso6];TG(13:0/15:0/17:0)[iso6];TG(13:0/16:0/16:0)[iso3];TG(14:0/14:0/17:0)[iso3];TG(14:0/15:0/16:0)[iso6];TG(15:0/15:0/15:0),C48H92O6
40,766.6111,"TG(12:0/12:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso3];TG(12:0/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6];TG(14:1(9Z)/14:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso3]",C49H82O6
41,768.6268,"TG(12:0/12:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso3];TG(12:0/14:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6];TG(12:0/14:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6];TG(12:0/16:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6];TG(13:0/13:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso3];TG(13:0/15:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6];TG(14:0/14:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6];TG(14:1(9Z)/14:1(9Z)/18:3(6Z,9Z,12Z))[iso3];TG(14:1(9Z)/14:1(9Z)/18:3(9Z,12Z,15Z))[iso3]",C49H84O6
42,770.6424,"TG(12:0/12:0/22:4(7Z,10Z,13Z,16Z))[iso3];TG(12:0/14:0/20:4(5Z,8Z,11Z,14Z))[iso6];TG(12:0/14:1(9Z)/20:3(8Z,11Z,14Z))[iso6];TG(12:0/16:0/18:4(6Z,9Z,12Z,15Z))[iso6];TG(12:0/16:1(9Z)/18:3(6Z,9Z,12Z))[iso6];TG(12:0/16:1(9Z)/18:3(9Z,12Z,15Z))[iso6];TG(12:0/17:2(9Z,12Z)/17:2(9Z,12Z))[iso3];TG(13:0/13:0/20:4(5Z,8Z,11Z,14Z))[iso3];TG(13:0/15:0/18:4(6Z,9Z,12Z,15Z))[iso6];TG(13:0/15:1(9Z)/18:3(6Z,9Z,12Z))[iso6];TG(13:0/15:1(9Z)/18:3(9Z,12Z,15Z))[iso6];TG(14:0/14:0/18:4(6Z,9Z,12Z,15Z))[iso3];TG(14:0/14:1(9Z)/18:3(6Z,9Z,12Z))[iso6];TG(14:0/14:1(9Z)/18:3(9Z,12Z,15Z))[iso6];TG(14:1(9Z)/14:1(9Z)/18:2(9Z,12Z))[iso3];TG(14:1(9Z)/15:1(9Z)/17:2(9Z,12Z))[iso6]",C49H86O6
43,772.6581,"TG(12:0/12:0/22:3(10Z,13Z,16Z))[iso3];TG(12:0/14:0/20:3(8Z,11Z,14Z))[iso6];TG(12:0/14:1(9Z)/20:2(11Z,14Z))[iso6];TG(12:0/16:0/18:3(6Z,9Z,12Z))[iso6];TG(12:0/16:0/18:3(9Z,12Z,15Z))[iso6];TG(12:0/16:1(9Z)/18:2(9Z,12Z))[iso6];TG(12:0/17:1(9Z)/17:2(9Z,12Z))[iso6];TG(13:0/13:0/20:3(8Z,11Z,14Z))[iso3];TG(13:0/15:0/18:3(6Z,9Z,12Z))[iso6];TG(13:0/15:0/18:3(9Z,12Z,15Z))[iso6];TG(13:0/15:1(9Z)/18:2(9Z,12Z))[iso6];TG(13:0/16:1(9Z)/17:2(9Z,12Z))[iso6];TG(14:0/14:0/18:3(6Z,9Z,12Z))[iso3];TG(14:0/14:0/18:3(9Z,12Z,15Z))[iso3];TG(14:0/14:1(9Z)/18:2(9Z,12Z))[iso6];TG(14:0/15:1(9Z)/17:2(9Z,12Z))[iso6];TG(14:1(9Z)/14:1(9Z)/18:1(9Z))[iso3];TG(14:1(9Z)/15:0/17:2(9Z,12Z))[iso6];TG(14:1(9Z)/15:1(9Z)/17:1(9Z))[iso6];TG(14:1(9Z)/16:1(9Z)/16:1(9Z))[iso3];TG(15:1(9Z)/15:1(9Z)/16:1(9Z))[iso3]",C49H88O6
44,774.6737,"TG(12:0/12:0/22:2(13Z,16Z))[iso3];TG(12:0/14:0/20:2(11Z,14Z))[iso6];TG(12:0/14:1(9Z)/20:1(11Z))[iso6];TG(12:0/15:1(9Z)/19:1(9Z))[iso6];TG(12:0/16:0/18:2(9Z,12Z))[iso6];TG(12:0/16:1(9Z)/18:1(9Z))[iso6];TG(12:0/17:0/17:2(9Z,12Z))[iso6];TG(12:0/17:1(9Z)/17:1(9Z))[iso3];TG(13:0/13:0/20:2(11Z,14Z))[iso3];TG(13:0/14:1(9Z)/19:1(9Z))[iso6];TG(13:0/15:0/18:2(9Z,12Z))[iso6];TG(13:0/15:1(9Z)/18:1(9Z))[iso6];TG(13:0/16:0/17:2(9Z,12Z))[iso6];TG(13:0/16:1(9Z)/17:1(9Z))[iso6];TG(14:0/14:0/18:2(9Z,12Z))[iso3];TG(14:0/14:1(9Z)/18:1(9Z))[iso6];TG(14:0/15:0/17:2(9Z,12Z))[iso6];TG(14:0/15:1(9Z)/17:1(9Z))[iso6];TG(14:0/16:1(9Z)/16:1(9Z))[iso3];TG(14:1(9Z)/14:1(9Z)/18:0)[iso3];TG(14:1(9Z)/15:0/17:1(9Z))[iso6];TG(14:1(9Z)/15:1(9Z)/17:0)[iso6];TG(14:1(9Z)/16:0/16:1(9Z))[iso6];TG(15:0/15:1(9Z)/16:1(9Z))[iso6];TG(15:1(9Z)/15:1(9Z)/16:0)[iso3]",C49H90O6
45,776.6894,TG(12:0/12:0/22:1(11Z))[iso3];TG(12:0/14:0/20:1(11Z))[iso6];TG(12:0/14:1(9Z)/20:0)[iso6];TG(12:0/15:0/19:1(9Z))[iso6];TG(12:0/15:1(9Z)/19:0)[iso6];TG(12:0/16:0/18:1(9Z))[iso6];TG(12:0/16:1(9Z)/18:0)[iso6];TG(12:0/17:0/17:1(9Z))[iso6];TG(13:0/13:0/20:1(11Z))[iso3];TG(13:0/14:0/19:1(9Z))[iso6];TG(13:0/14:1(9Z)/19:0)[iso6];TG(13:0/15:0/18:1(9Z))[iso6];TG(13:0/15:1(9Z)/18:0)[iso6];TG(13:0/16:0/17:1(9Z))[iso6];TG(13:0/16:1(9Z)/17:0)[iso6];TG(14:0/14:0/18:1(9Z))[iso3];TG(14:0/14:1(9Z)/18:0)[iso6];TG(14:0/15:0/17:1(9Z))[iso6];TG(14:0/15:1(9Z)/17:0)[iso6];TG(14:0/16:0/16:1(9Z))[iso6];TG(14:1(9Z)/15:0/17:0)[iso6];TG(14:1(9Z)/16:0/16:0)[iso3];TG(15:0/15:0/16:1(9Z))[iso3];TG(15:0/15:1(9Z)/16:0)[iso6],C49H92O6
46,778.705,TG(12:0/12:0/22:0)[iso3];TG(12:0/13:0/21:0)[iso6];TG(12:0/14:0/20:0)[iso6];TG(12:0/15:0/19:0)[iso6];TG(12:0/16:0/18:0);TG(12:0/17:0/17:0)[iso3];TG(13:0/13:0/20:0)[iso3];TG(13:0/14:0/19:0)[iso6];TG(13:0/15:0/18:0)[iso6];TG(13:0/16:0/17:0)[iso6];TG(14:0/14:0/18:0)[iso3];TG(14:0/15:0/17:0)[iso6];TG(14:0/16:0/16:0)[iso3];TG(15:0/15:0/16:0)[iso3],C49H94O6
47,780.6268,"TG(12:0/13:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6];TG(12:0/15:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6];TG(12:0/17:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))[iso6];TG(13:0/14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6];TG(14:1(9Z)/15:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6]",C50H84O6
