,MASS,COMMON_NAME,FORMULA
53,565.4107,1-(2-methoxy-16Z-tricosenyl)-sn-glycero-3-phosphoethanolamine;PE(0:0/24:0);PE(24:0/0:0),C29H60NO7P
54,567.4264,1-(2-methoxy-tricosanyl)-sn-glycero-3-phosphoethanolamine,C29H62NO7P
55,572.2962,1-hexadecanoyl-sn--glycero-3-phospho-D-myo-inositol,C25H49O12P
56,579.39,PE(12:0/12:0),C29H58NO8P
57,579.4264,1-(2-methoxy-17Z-tetracosenyl)-sn-glycero-3-phosphoethanolamine,C30H62NO7P
58,581.442,1-(2-methoxy-tetracosanyl)-sn-glycero-3-phosphoethanolamine,C30H64NO7P
59,593.4057,PE(12:0/13:0);PE(13:0/12:0);PE-NMe(12:0/12:0),C30H60NO8P
60,593.442,1-(2-methoxy-18Z-pentacosenyl)-sn-glycero-3-phosphoethanolamine,C31H64NO7P
61,600.3275,6-O-(1-O-stearoyl-sn-glycero-3-phosphono)-1D-myo-inositol,C27H53O12P
62,605.4057,PE(12:0/14:1(9Z));PE(14:1(9Z)/12:0),C31H60NO8P
63,605.442,"1-(2-methoxy-5Z,19Z-hexacosadienyl)-sn-glycero-3-phosphoethanolamine;1-(2-methoxy-5Z,9Z-hexacosadienyl)-sn-glycero-3-phosphoethanolamine",C32H64NO7P
64,607.4213,PE(12:0/14:0);PE(13:0/13:0);PE(14:0/12:0);PE(16:0/10:0);PE-NMe2(12:0/12:0),C31H62NO8P
65,607.4577,1-(2-methoxy-19Z-hexacosenyl)-sn-glycero-3-phosphoethanolamine,C32H66NO7P
66,619.4213,PE(12:0/15:1(9Z));PE(13:0/14:1(9Z));PE(14:1(9Z)/13:0);PE(15:1(9Z)/12:0),C32H62NO8P
67,619.4577,PE(P-16:0/12:0),C33H66NO7P
68,621.437,PE(12:0/15:0);PE(13:0/14:0);PE(14:0/13:0);PE(15:0/12:0),C32H64NO8P
69,621.4733,1-(2-methoxy-20Z-heptacosenyl)-sn-glycero-3-phosphoethanolamine;PE(O-16:0/12:0),C33H68NO7P
70,631.4213,PE(14:1(9Z)/14:1(9Z)),C33H62NO8P
71,633.437,PE(12:0/16:1(9Z));PE(13:0/15:1(9Z));PE(14:0/14:1(9Z));PE(14:1(9Z)/14:0);PE(15:1(9Z)/13:0);PE(16:1(9Z)/12:0),C33H64NO8P
72,633.4733,"1-(2-methoxy-7Z,21Z-octacosadienyl)-sn-glycero-3-phosphoethanolamine;PE(P-16:0/13:0)",C34H68NO7P
73,635.4526,PE(12:0(11Me)/14:0(13Me));PE(12:0/16:0);PE(13:0/15:0);PE(14:0/14:0);PE(15:0/13:0);PE(16:0/12:0);PE(18:0/10:0),C33H66NO8P
74,635.489,1-(2-methoxy-21Z-octacosenyl)-sn-glycero-3-phosphoethanolamine;PE(O-16:0/13:0),C34H70NO7P
75,645.437,"PE(12:0/17:2(9Z,12Z));PE(14:1(9Z)/15:1(9Z));PE(15:1(9Z)/14:1(9Z));PE(17:2(9Z,12Z)/12:0)",C34H64NO8P
76,645.4733,PE(P-16:0/14:1(9Z)),C35H68NO7P
77,647.4526,PE(12:0/17:1(9Z));PE(13:0/16:1(9Z));PE(14:0/15:1(9Z));PE(14:1(9Z)/15:0);PE(15:0/14:1(9Z));PE(15:1(9Z)/14:0);PE(16:1(9Z)/13:0);PE(17:1(9Z)/12:0),C34H66NO8P
78,647.489,PE(O-16:0/14:1(9Z));PE(P-14:0(13Me)/14:0(13Me));PE(P-16:0/14:0);PE(P-18:0/12:0),C35H70NO7P
79,649.4683,PE(12:0/17:0);PE(13:0/16:0);PE(14:0/14:0(13Me));PE(14:0/15:0);PE(15:0/14:0);PE(16:0/13:0);PE(17:0/12:0);PE-NMe(14:0/14:0),C34H68NO8P
80,649.5046,PE(O-14:0(13Me)/14:0(13Me));PE(O-16:0/14:0);PE(O-18:0/12:0),C35H72NO7P
81,655.4213,"PE(12:0/18:4(6Z,9Z,12Z,15Z));PE(18:4(6Z,9Z,12Z,15Z)/12:0)",C35H62NO8P
82,657.437,"PE(12:0/18:3(6Z,9Z,12Z));PE(12:0/18:3(9Z,12Z,15Z));PE(18:3(6Z,9Z,12Z)/12:0);PE(18:3(9Z,12Z,15Z)/12:0)",C35H64NO8P
83,659.4526,"PE(12:0/18:2(9Z,12Z));PE(13:0/17:2(9Z,12Z));PE(14:1(9Z)/16:1(9Z));PE(15:1(9Z)/15:1(9Z));PE(16:1(9Z)/14:1(9Z));PE(17:2(9Z,12Z)/13:0);PE(18:2(9Z,12Z)/12:0)",C35H66NO8P
84,659.489,PE(P-16:0/15:1(9Z)),C36H70NO7P
85,661.4683,PE(12:0/18:1(9Z));PE(13:0/17:1(9Z));PE(14:0/16:1(9Z));PE(14:1(9Z)/16:0);PE(15:0/15:1(9Z));PE(15:1(9Z)/15:0);PE(16:0/14:1(9Z));PE(16:1(9Z)/14:0);PE(17:1(9Z)/13:0);PE(18:1(9Z)/12:0),C35H68NO8P
86,661.5046,PE(O-16:0/15:1(9Z));PE(P-16:0/15:0);PE(P-18:0/13:0),C36H72NO7P
87,663.4839,PE(12:0/18:0);PE(13:0/17:0);PE(14:0(13Me)/14:0(13Me));PE(14:0/16:0);PE(15:0/15:0);PE(16:0/14:0);PE(17:0/13:0);PE(18:0/12:0);PE-NMe2(14:0/14:0),C35H70NO8P
88,663.5203,PE(O-16:0/15:0);PE(O-18:0/13:0),C36H74NO7P
89,669.437,"PE(13:0/18:4(6Z,9Z,12Z,15Z));PE(18:4(6Z,9Z,12Z,15Z)/13:0)",C36H64NO8P
90,671.4526,"PE(13:0/18:3(6Z,9Z,12Z));PE(13:0/18:3(9Z,12Z,15Z));PE(14:1(9Z)/17:2(9Z,12Z));PE(17:2(9Z,12Z)/14:1(9Z));PE(18:3(6Z,9Z,12Z)/13:0);PE(18:3(9Z,12Z,15Z)/13:0)",C36H66NO8P
91,673.4683,"PE(13:0/18:2(9Z,12Z));PE(14:0/17:2(9Z,12Z));PE(14:1(9Z)/17:1(9Z));PE(15:1(9Z)/16:1(9Z));PE(16:1(9Z)/15:1(9Z));PE(17:1(9Z)/14:1(9Z));PE(17:2(9Z,12Z)/14:0);PE(18:2(9Z,12Z)/13:0)",C36H68NO8P
92,673.5046,PE(P-16:0/16:1(9Z));PE(P-18:0/14:1(9Z)),C37H72NO7P
93,675.4839,PE(12:0/19:1(9Z));PE(13:0/18:1(9Z));PE(14:0/16:0(9Cp));PE(14:0/17:1(9Z));PE(14:1(9Z)/17:0);PE(15:0/16:1(9Z));PE(15:1(9Z)/16:0);PE(16:0/15:1(9Z));PE(16:1(11Z)/15:0);PE(16:1(5Z)/15:0);PE(16:1(9Z)/15:0);PE(17:0/14:1(9Z));PE(17:1(9Z)/14:0);PE(18:1(9Z)/13:0);PE(19:1(9Z)/12:0),C36H70NO8P
94,675.5203,PE(O-16:0/16:1(9Z));PE(O-18:0/14:1(9Z));PE(P-16:0/16:0);PE(P-18:0/14:0);PE(P-20:0/12:0),C37H74NO7P
95,677.4996,PE(12:0/19:0);PE(13:0/18:0);PE(14:0/17:0);PE(15:0/16:0);PE(16:0/15:0);PE(17:0/14:0);PE(18:0/13:0);PE(19:0/12:0),C36H72NO8P
96,677.5359,PE(O-16:0/16:0);PE(O-18:0/14:0);PE(O-20:0/12:0),C37H76NO7P
97,681.437,"PE(12:0/20:5(5Z,8Z,11Z,14Z,17Z));PE(14:1(9Z)/18:4(6Z,9Z,12Z,15Z));PE(18:4(6Z,9Z,12Z,15Z)/14:1(9Z));PE(20:5(5Z,8Z,11Z,14Z,17Z)/12:0)",C37H64NO8P
98,683.4526,"PE(12:0/20:4(5Z,8Z,11Z,14Z));PE(14:0/18:4(6Z,9Z,12Z,15Z));PE(14:1(9Z)/18:3(6Z,9Z,12Z));PE(14:1(9Z)/18:3(9Z,12Z,15Z));PE(18:3(6Z,9Z,12Z)/14:1(9Z));PE(18:3(9Z,12Z,15Z)/14:1(9Z));PE(18:4(6Z,9Z,12Z,15Z)/14:0);PE(20:4(5Z,8Z,11Z,14Z)/12:0)",C37H66NO8P
99,683.5254,-,C39H74NO6P
