,MASS,COMMON_NAME,FORMULA
12,1409.0348,"CL(1'-[16:0/16:0],3'-[16:0/20:0]);CL(1'-[16:0/16:0],3'-[18:0/18:0]);CL(1'-[16:0/16:0],3'-[20:0/16:0]);CL(1'-[16:0/18:0],3'-[16:0/18:0]);CL(1'-[16:0/18:0],3'-[18:0/16:0]);CL(1'-[16:0/20:0],3'-[16:0/16:0]);CL(1'-[18:0/16:0],3'-[16:0/18:0]);CL(1'-[18:0/16:0],3'-[18:0/16:0]);CL(1'-[18:0/18:0],3'-[16:0/16:0]);CL(1'-[20:0/16:0],3'-[16:0/16:0])",C77H150O17P2
13,1424.9722,"CL(1'-[16:0/16:0],3'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)],3'-[16:0/16:0])",C79H142O17P2
14,1426.9879,"CL(1'-[16:0/16:0],3'-[18:1(9Z)/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)]);CL(1'-[16:0/18:1(9Z)],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/18:1(9Z)],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:1(9Z)],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/18:1(9Z)]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:1(9Z)/16:0]);CL(1'-[18:1(9Z)/16:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:1(9Z)/16:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:1(9Z)/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[16:0/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[16:0/18:1(9Z)]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[18:1(9Z)/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)],3'-[16:0/16:0])",C79H144O17P2
15,1429.0035,"CL(1'-[16:0/16:0],3'-[18:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:0]);CL(1'-[16:0/18:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/18:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[16:0/18:1(9Z)],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:1(9Z)],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:0/18:2(9Z,12Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:1(9Z)/18:1(9Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:0]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/18:0]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:0/16:0]);CL(1'-[18:0/16:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:0/16:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[18:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[18:0/18:2(9Z,12Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/16:0]);CL(1'-[18:1(9Z)/16:0],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/16:0],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[18:1(9Z)/18:1(9Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/18:1(9Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[16:0/18:1(9Z)]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:0/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:1(9Z)/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:2(9Z,12Z)/18:0]);CL(1'-[18:2(9Z,12Z)/18:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/18:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[16:0/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[18:1(9Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[16:0/18:0]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[18:0/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[16:0/18:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[18:0/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:0],3'-[16:0/16:0])",C79H146O17P2
16,1431.0192,"CL(1'-[16:0/18:0],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:0],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[16:0/18:1(9Z)],3'-[18:0/18:2(9Z,12Z)]);CL(1'-[16:0/18:1(9Z)],3'-[18:1(9Z)/18:1(9Z)]);CL(1'-[16:0/18:1(9Z)],3'-[18:2(9Z,12Z)/18:0]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:0/18:1(9Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:1(9Z)/18:0]);CL(1'-[18:0/16:0],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[18:0/16:0],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[18:0/18:1(9Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:0/18:1(9Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:0/18:2(9Z,12Z)],3'-[16:0/18:1(9Z)]);CL(1'-[18:0/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0]);CL(1'-[18:1(9Z)/16:0],3'-[18:0/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/16:0],3'-[18:1(9Z)/18:1(9Z)]);CL(1'-[18:1(9Z)/16:0],3'-[18:2(9Z,12Z)/18:0]);CL(1'-[18:1(9Z)/18:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/18:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:1(9Z)/18:1(9Z)],3'-[16:0/18:1(9Z)]);CL(1'-[18:1(9Z)/18:1(9Z)],3'-[18:1(9Z)/16:0]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[16:0/18:0]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[18:0/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:0/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:1(9Z)/18:0]);CL(1'-[18:2(9Z,12Z)/18:0],3'-[16:0/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/18:0],3'-[18:1(9Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[16:0/18:0]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[18:0/16:0])",C79H148O17P2
17,1433.0348,"CL(1'-[16:0/16:0],3'-[18:2(9Z,12Z)/20:0]);CL(1'-[16:0/16:0],3'-[20:0/18:2(9Z,12Z)]);CL(1'-[16:0/18:0],3'-[18:0/18:2(9Z,12Z)]);CL(1'-[16:0/18:0],3'-[18:1(9Z)/18:1(9Z)]);CL(1'-[16:0/18:0],3'-[18:2(9Z,12Z)/18:0]);CL(1'-[16:0/18:1(9Z)],3'-[18:0/18:1(9Z)]);CL(1'-[16:0/18:1(9Z)],3'-[18:1(9Z)/18:0]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[16:0/20:0]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:0/18:0]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:0/16:0]);CL(1'-[16:0/20:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[16:0/20:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:0/16:0],3'-[18:0/18:2(9Z,12Z)]);CL(1'-[18:0/16:0],3'-[18:1(9Z)/18:1(9Z)]);CL(1'-[18:0/16:0],3'-[18:2(9Z,12Z)/18:0]);CL(1'-[18:0/18:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:0/18:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:0/18:1(9Z)],3'-[16:0/18:1(9Z)]);CL(1'-[18:0/18:1(9Z)],3'-[18:1(9Z)/16:0]);CL(1'-[18:0/18:2(9Z,12Z)],3'-[16:0/18:0]);CL(1'-[18:0/18:2(9Z,12Z)],3'-[18:0/16:0]);CL(1'-[18:1(9Z)/16:0],3'-[18:0/18:1(9Z)]);CL(1'-[18:1(9Z)/16:0],3'-[18:1(9Z)/18:0]);CL(1'-[18:1(9Z)/18:0],3'-[16:0/18:1(9Z)]);CL(1'-[18:1(9Z)/18:0],3'-[18:1(9Z)/16:0]);CL(1'-[18:1(9Z)/18:1(9Z)],3'-[16:0/18:0]);CL(1'-[18:1(9Z)/18:1(9Z)],3'-[18:0/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[16:0/20:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:0/18:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[20:0/16:0]);CL(1'-[18:2(9Z,12Z)/18:0],3'-[16:0/18:0]);CL(1'-[18:2(9Z,12Z)/18:0],3'-[18:0/16:0]);CL(1'-[18:2(9Z,12Z)/20:0],3'-[16:0/16:0]);CL(1'-[20:0/16:0],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[20:0/16:0],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[20:0/18:2(9Z,12Z)],3'-[16:0/16:0])",C79H150O17P2
18,1435.0505,"CL(1'-[16:0/16:0],3'-[18:1(9Z)/20:0]);CL(1'-[16:0/16:0],3'-[20:0/18:1(9Z)]);CL(1'-[16:0/18:0],3'-[18:0/18:1(9Z)]);CL(1'-[16:0/18:0],3'-[18:1(9Z)/18:0]);CL(1'-[16:0/18:1(9Z)],3'-[16:0/20:0]);CL(1'-[16:0/18:1(9Z)],3'-[18:0/18:0]);CL(1'-[16:0/18:1(9Z)],3'-[20:0/16:0]);CL(1'-[16:0/20:0],3'-[16:0/18:1(9Z)]);CL(1'-[16:0/20:0],3'-[18:1(9Z)/16:0]);CL(1'-[18:0/16:0],3'-[18:0/18:1(9Z)]);CL(1'-[18:0/16:0],3'-[18:1(9Z)/18:0]);CL(1'-[18:0/18:0],3'-[16:0/18:1(9Z)]);CL(1'-[18:0/18:0],3'-[18:1(9Z)/16:0]);CL(1'-[18:0/18:1(9Z)],3'-[16:0/18:0]);CL(1'-[18:0/18:1(9Z)],3'-[18:0/16:0]);CL(1'-[18:1(9Z)/16:0],3'-[16:0/20:0]);CL(1'-[18:1(9Z)/16:0],3'-[18:0/18:0]);CL(1'-[18:1(9Z)/16:0],3'-[20:0/16:0]);CL(1'-[18:1(9Z)/18:0],3'-[16:0/18:0]);CL(1'-[18:1(9Z)/18:0],3'-[18:0/16:0]);CL(1'-[18:1(9Z)/20:0],3'-[16:0/16:0]);CL(1'-[20:0/16:0],3'-[16:0/18:1(9Z)]);CL(1'-[20:0/16:0],3'-[18:1(9Z)/16:0]);CL(1'-[20:0/18:1(9Z)],3'-[16:0/16:0])",C79H152O17P2
19,1437.0661,"CL(1'-[16:0/16:0],3'-[18:0/20:0]);CL(1'-[16:0/16:0],3'-[20:0/18:0]);CL(1'-[16:0/18:0],3'-[16:0/20:0]);CL(1'-[16:0/18:0],3'-[18:0/18:0]);CL(1'-[16:0/18:0],3'-[20:0/16:0]);CL(1'-[16:0/20:0],3'-[16:0/18:0]);CL(1'-[16:0/20:0],3'-[18:0/16:0]);CL(1'-[18:0/16:0],3'-[16:0/20:0]);CL(1'-[18:0/16:0],3'-[18:0/18:0]);CL(1'-[18:0/16:0],3'-[20:0/16:0]);CL(1'-[18:0/18:0],3'-[16:0/18:0]);CL(1'-[18:0/18:0],3'-[18:0/16:0]);CL(1'-[18:0/20:0],3'-[16:0/16:0]);CL(1'-[20:0/16:0],3'-[16:0/18:0]);CL(1'-[20:0/16:0],3'-[18:0/16:0]);CL(1'-[20:0/18:0],3'-[16:0/16:0])",C79H154O17P2
20,1448.9722,"CL(1'-[16:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/16:0])",C81H142O17P2
21,1450.9879,"CL(1'-[16:0/18:1(9Z)],3'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/18:1(9Z)],3'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:1(9Z)/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[16:0/18:2(9Z,12Z)],3'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[18:1(9Z)/16:0],3'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:1(9Z)/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/18:2(9Z,12Z)],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[18:1(9Z)/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[18:1(9Z)/20:4(5Z,8Z,11Z,14Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[18:1(9Z)/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:2(9Z,12Z)/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[16:0/20:4(5Z,8Z,11Z,14Z)]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/18:1(9Z)],3'-[20:4(5Z,8Z,11Z,14Z)/16:0]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[18:2(9Z,12Z)/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)],3'-[16:0/18:1(9Z)]);CL(1'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)],3'-[18:1(9Z)/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[18:1(9Z)/18:2(9Z,12Z)]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[18:2(9Z,12Z)/18:1(9Z)]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)],3'-[16:0/18:2(9Z,12Z)]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)],3'-[18:2(9Z,12Z)/16:0]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)],3'-[16:0/18:1(9Z)]);CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0])",C81H144O17P2
