,MASS,COMMON_NAME,FORMULA
68,979.5299,CDP-DG(16:0/18:1(11Z));CDP-DG(16:0/18:1(9Z));CDP-DG(18:1(11Z)/16:0);CDP-DG(18:1(9Z)/16:0),C46H83N3O15P2
69,981.5456,CDP-DG(16:0/18:0);CDP-DG(18:0/16:0),C46H85N3O15P2
70,1001.5143,"CDP-DG(16:0/20:4(5Z,8Z,11Z,14Z));CDP-DG(16:0/20:4(8Z,11Z,14Z,17Z))",C48H81N3O15P2
71,1003.5299,"CDP-DG(18:1(11Z)/18:2(9Z,12Z));CDP-DG(18:1(9Z)/18:2(9Z,12Z))",C48H83N3O15P2
72,1005.5456,"CDP-DG(18:0/18:2(9Z,12Z));CDP-DG(18:1(11Z)/18:1(9Z));CDP-DG(18:1(9Z)/18:1(11Z));CDP-DG(18:1(9Z)/18:1(9Z))",C48H85N3O15P2
73,1007.5612,CDP-DG(18:0/18:1(11Z));CDP-DG(18:0/18:1(9Z));CDP-DG(18:1(11Z)/18:0);CDP-DG(18:1(9Z)/18:0),C48H87N3O15P2
74,1009.5769,CDP-DG(18:0/18:0),C48H89N3O15P2
75,1025.5143,"CDP-DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C50H81N3O15P2
76,1027.5299,"CDP-DG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z));CDP-DG(18:1(11Z)/20:4(8Z,11Z,14Z,17Z));CDP-DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z));CDP-DG(18:1(9Z)/20:4(8Z,11Z,14Z,17Z))",C50H83N3O15P2
77,1029.5456,"CDP-DG(18:0/20:4(5Z,8Z,11Z,14Z));CDP-DG(18:0/20:4(8Z,11Z,14Z,17Z))",C50H85N3O15P2
78,1031.5612,"CDP-DG(16:0/22:3(10Z,13Z,16Z))",C50H87N3O15P2
79,1051.5299,"CDP-DG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z));CDP-DG(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C52H83N3O15P2
80,1053.5456,"CDP-DG(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C52H85N3O15P2
81,1057.5769,"CDP-DG(18:1(11Z)/22:3(10Z,13Z,16Z));CDP-DG(18:1(9Z)/22:3(10Z,13Z,16Z))",C52H89N3O15P2
82,1059.5925,"CDP-DG(18:0/22:3(10Z,13Z,16Z))",C52H91N3O15P2
83,1218.8369,"DGDG(18:2(9Z,12Z)/18:2(9Z,12Z)[15(R)OH-18:2(9Z,12Z])",C69H118O17
