,MASS,COMMON_NAME,FORMULA
68,549.3794,PC(20:1(11Z)/0:0);PC(20:1(13Z)/0:0);PC(20:1(9Z)/0:0);PC(O-18:1(10E)/2:0);PC(O-18:1(9Z)/2:0);PC(P-18:0/2:0),C28H56NO7P
69,551.3587,PC(16:0/3:0);PC(17:0/2:0),C27H54NO8P
70,551.3951,PC(20:0/0:0);PC(O-16:0/4:0);PC(O-18:0/2:0),C28H58NO7P
71,557.3118,"PC(6:2(3E,5E)/14:2(11E,13E))",C28H48NO8P
72,557.3481,"PC(21:4(6Z,9Z,12Z,15Z)/0:0)",C29H52NO7P
73,563.3587,PC(18:1(9E)/2:0);PC(18:1(9Z)/2:0);PC(2:0/18:1(9Z)),C28H54NO8P
74,563.3951,PC(O-18:0/3:1(2E)),C29H58NO7P
75,565.3744,PC(10:0/10:0);PC(16:0/4:0);PC(18:0/2:0);PC(2:0/18:0),C28H56NO8P
76,565.4107,PC(21:0/0:0);PC(O-16:0/5:0);PC(O-18:0/3:0);PC(O-19:0/2:0),C29H60NO7P
77,567.3325,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",C30H50NO7P
78,569.3481,"PC(22:5(4Z,7Z,10Z,13Z,16Z)/0:0);PC(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)",C30H52NO7P
79,571.3638,"PC(22:4(7Z,10Z,13Z,16Z)/0:0)",C30H54NO7P
80,575.3951,"PC(22:2(13Z,16Z)/0:0)",C30H58NO7P
81,577.3744,PC(16:0/5:1(4E));PC(18:0/3:1(2E)),C29H56NO8P
82,577.4107,PC(22:1(11Z)/0:0);PC(22:1(13Z)/0:0),C30H60NO7P
83,579.39,PC(16:0/5:0);PC(18:0/3:0);PC(19:0/2:0);PC(5:0/16:0),C29H58NO8P
84,579.4264,PC(22:0/0:0);PC(O-16:0/6:0);PC(O-18:0/4:0);PC(O-20:0/2:0),C30H62NO7P
85,591.39,PC(18:1(9Z)/4:0);PC(4:0/18:1(9Z)),C30H58NO8P
86,593.4057,PC(10:0/12:0);PC(11:0/11:0);PC(16:0/6:0);PC(4:0/18:0),C30H60NO8P
87,605.442,PC(24:1(15Z)/0:0),C32H64NO7P
88,607.4577,PC(24:0/0:0),C32H66NO7P
89,621.437,PC(10:0/14:0);PC(12:0/12:0);PC(6:0/18:0),C32H64NO8P
90,635.4526,PC(11:0/14:0);PC(12:0/13:0);PC(13:0/12:0);PC(16:0/9:0),C33H66NO8P
91,647.4526,PC(10:0/16:1(9Z));PC(12:0/14:1(9Z));PC(14:1(9Z)/12:0),C34H66NO8P
