,MASS,COMMON_NAME,FORMULA
128,675.3748,OKHdiA-PC,C33H58NO11P
129,675.4111,OHOOA-PC;PKDdiA-PE,C34H62NO10P
130,675.4475,OON-PC,C35H66NO9P
131,677.3176,OKHdiA-PS,C31H52NO13P
132,677.354,OHOOA-PS,C32H56NO12P
133,677.3904,OHHdiA-PC;OON-PS,C33H60NO11P
134,678.338,OKODiA-PG,C32H55O13P
135,679.3333,OHHdiA-PS,C31H54NO13P
136,679.4061,PHDdiA-PE,C33H62NO11P
137,680.3537,OHODiA-PG,C32H57O13P
138,680.3901,OA-PG,C33H61O12P
139,682.3329,OOB-PI,C31H55O14P
140,684.3486,PG-PI,C31H57O14P
141,687.4111,OKODA-PE,C35H62NO10P
142,689.3904,OKODiA-PC,C34H60NO11P
143,689.4268,OHODA-PE,C35H64NO10P
144,691.3333,OKODiA-PS,C32H54NO13P
145,691.4061,OHODiA-PC,C34H62NO11P
146,691.4424,OA-PC,C35H66NO10P
147,692.3901,PKODA-PG,C34H61O12P
148,693.3489,OHODiA-PS,C32H56NO13P
149,693.3853,OA-PS,C33H60NO12P
150,694.4057,PHODA-PG,C34H63O12P
151,696.3486,OOV-PI,C32H57O14P
152,698.3279,OS-PI,C31H55O15P
153,703.4061,OKDdiA-PE,C35H62NO11P
154,703.4424,PKODA-PC,C36H66NO10P
155,705.3853,PKODA-PS,C34H60NO12P
156,705.4217,OHDdiA-PE,C35H64NO11P
157,705.4581,PHODA-PC,C36H68NO10P
158,707.401,PHODA-PS,C34H62NO12P
159,708.385,PKDdiA-PG,C34H61O13P
160,710.3279,PKOHA-PI,C32H55O15P
161,710.4006,PHDdiA-PG,C34H63O13P
162,712.3435,OG-PI;PHOHA-PI,C32H57O15P
163,718.4057,OKODA-PG,C36H63O12P
164,719.4374,PKDdiA-PC,C36H66NO11P
165,720.4214,OHODA-PG,C36H65O12P
166,721.3802,PKDdiA-PS,C34H60NO13P
167,721.453,PHDdiA-PC,C36H68NO11P
168,723.3959,PHDdiA-PS,C34H62NO13P
169,724.3435,PKOOA-PI,C33H57O15P
170,726.3228,PKHdiA-PI,C32H55O16P
171,726.3592,PHOOA-PI,C33H59O15P
172,726.3955,PON-PI,C34H63O14P
173,728.3384,PHHdiA-PI,C32H57O16P
174,729.4581,OKODA-PC,C38H68NO10P
175,731.401,OKODA-PS,C36H62NO12P
176,731.4737,OHODA-PC,C38H70NO10P
177,733.4166,OHODA-PS,C36H64NO12P
178,734.4006,OKDdiA-PG,C36H63O13P
179,736.3435,OKOHA-PI,C34H57O15P
180,736.4163,OHDdiA-PG,C36H65O13P
181,738.3592,OHOHA-PI,C34H59O15P
